73,1934-12-23,1934,US Palermo,Sampierdarenese,1-0,1,0,1,H
74,1934-12-23,1934,Pro Vercelli,US Livorno,0-1,0,1,1,A
75,1934-12-23,1934,SSC Napoli,Torino FC,2-1,2,1,1,H
76,1934-12-23,1934,Juventus,US Alessandria 1912,4-1,4,1,1,H
77,1934-12-23,1934,ACF Fiorentina,Inter,1-1,1,1,1,D
78,1934-12-23,1934,Brescia Calcio,Lazio Roma,1-0,1,0,1,H
79,1934-12-23,1934,AS Roma,Bologna FC,1-1,1,1,1,D
80,1934-12-23,1934,AC Milan,Unione Triestina,0-1,0,1,1,A
81,1935-01-06,1934,Bologna FC,AC Milan,6-3,6,3,1,H
82,1935-01-06,1934,Unione Triestina,Pro Vercelli,3-1,3,1,1,H
83,1935-01-06,1934,Torino FC,Sampierdarenese,5-2,5,2,1,H
84,1935-01-06,1934,US Palermo,Juventus,0-0,0,0,1,D
85,1935-01-06,1934,Lazio Roma,SSC Napoli,3-1,3,1,1,H
86,1935-01-06,1934,Inter,Brescia Calcio,5-1,5,1,1,H
87,1935-01-06,1934,US Alessandria 1912,AS Roma,1-1,1,1,1,D
88,1935-01-06,1934,US Livorno,ACF Fiorentina,1-2,1,2,1,A
89,1935-01-13,1934,AC Milan,US Alessandria 1912,2-2,2,2,1,D
90,1935-01-13,1934,Torino FC,US Palermo,0-0,0,0,1,D
91,1935-01-13,1934,Sampierdarenese,Lazio Roma,2-3,2,3,1,A
92,1935-01-13,1934,AS Roma,Juventus,1-2,1,2,1,A
93,1935-01-13,1934,ACF Fiorentina,Unione Triestina,1-0,1,0,1,H
94,1935-01-13,1934,Brescia Calcio,US Livorno,4-0,4,0,1,H
95,1935-01-13,1934,Pro Vercelli,Bologna FC,2-1,2,1,1,H
96,1935-01-13,1934,SSC Napoli,Inter,0-1,0,1,1,A
97,1935-01-27,1934,Juventus,AC Milan,1-0,1,0,1,H
98,1935-01-27,1934,Unione Triestina,Brescia Calcio,3-0,3,0,1,H
99,1935-01-27,1934,US Palermo,AS Roma,1-0,1,0,1,H
100,1935-01-27,1934,Lazio Roma,Torino FC,1-1,1,1,1,D
101,1935-01-27,1934,Bologna FC,ACF Fiorentina,2-1,2,1,1,H
102,1935-01-27,1934,Inter,Sampierdarenese,6-1,6,1,1,H
103,1935-01-27,1934,US Alessandria 1912,Pro Vercelli,2-1,2,1,1,H
104,1935-01-27,1934,US Livorno,SSC Napoli,0-2,0,2,1,A
105,1935-02-10,1934,Lazio Roma,US Palermo,1-0,1,0,1,H
106,1935-02-10,1934,Torino FC,Inter,1-2,1,2,1,A
107,1935-02-10,1934,Sampierdarenese,US Livorno,0-0,0,0,1,D
108,1935-02-10,1934,Pro Vercelli,Juventus,0-1,0,1,1,A
109,1935-02-10,1934,AC Milan,AS Roma,4-4,4,4,1,D
110,1935-02-10,1934,ACF Fiorentina,US Alessandria 1912,4-1,4,1,1,H
111,1935-02-10,1934,Brescia Calcio,Bologna FC,1-1,1,1,1,D
112,1935-02-10,1934,SSC Napoli,Unione Triestina,2-1,2,1,1,H
113,1935-02-10,1934,Juventus,ACF Fiorentina,0-0,0,0,1,D
114,1935-02-10,1934,Unione Triestina,Sampierdarenese,2-1,2,1,1,H
115,1935-02-10,1934,AS Roma,Pro Vercelli,3-2,3,2,1,H
116,1935-02-10,1934,US Livorno,Torino FC,1-1,1,1,1,D
117,1935-02-10,1934,Bologna FC,SSC Napoli,3-0,3,0,1,H
118,1935-02-10,1934,Inter,Lazio Roma,1-0,1,0,1,H
119,1935-02-10,1934,US Alessandria 1912,Brescia Calcio,1-0,1,0,1,H
120,1935-02-10,1934,US Palermo,AC Milan,1-0,1,0,1,H
121,1935-02-17,1934,Juventus,Brescia Calcio,0-0,0,0,1,D
122,1935-02-17,1934,AS Roma,ACF Fiorentina,0-0,0,0,1,D
123,1935-02-17,1934,US Palermo,Inter,1-1,1,1,1,D
124,1935-02-17,1934,Unione Triestina,Torino FC,1-0,1,0,1,H
125,1935-02-17,1934,US Livorno,Lazio Roma,0-2,0,2,1,A
126,1935-02-17,1934,Bologna FC,Sampierdarenese,0-1,0,1,1,A
127,1935-02-17,1934,US Alessandria 1912,SSC Napoli,4-2,4,2,1,H
