,Date,Season,home,visitor,HT,FT,hgoal,vgoal,tier,round,group,notes,result
1,1929-02-10,1928,Arenas de Getxo,Atletico Madrid,0-2,2-3,2,3,1,league,NA,NA,A
2,1929-02-10,1928,Espanyol Barcelona,Real Union,1-0,3-2,3,2,1,league,NA,NA,H
3,1929-02-10,1928,Real Madrid,CE Europa,0-0,5-0,5,0,1,league,NA,NA,H
4,1929-02-10,1928,Real Sociedad,Athletic Bilbao,1-1,1-1,1,1,1,league,NA,NA,D
5,1929-02-12,1928,Racing Santander,FC Barcelona,0-0,0-2,0,2,1,league,NA,NA,A
6,1929-02-17,1928,FC Barcelona,Real Madrid,0-1,1-2,1,2,1,league,NA,NA,A
7,1929-02-17,1928,Athletic Bilbao,Espanyol Barcelona,3-0,9-0,9,0,1,league,NA,NA,H
8,1929-02-17,1928,Atletico Madrid,Real Sociedad,0-3,0-3,0,3,1,league,NA,NA,A
9,1929-02-17,1928,Real Union,Racing Santander,0-1,3-1,3,1,1,league,NA,NA,H
10,1929-02-17,1928,CE Europa,Arenas de Getxo,2-0,5-2,5,2,1,league,NA,NA,H
11,1929-02-24,1928,Real Sociedad,FC Barcelona,2-0,3-0,3,0,1,league,NA,NA,H
12,1929-02-24,1928,Espanyol Barcelona,CE Europa,3-0,3-1,3,1,1,league,NA,NA,H
13,1929-02-24,1928,Arenas de Getxo,Real Union,1-0,1-1,1,1,1,league,NA,NA,D
14,1929-02-24,1928,Racing Santander,Athletic Bilbao,0-2,0-4,0,4,1,league,NA,NA,A
15,1929-02-24,1928,Real Madrid,Atletico Madrid,1-1,2-1,2,1,1,league,NA,NA,H
16,1929-03-03,1928,Real Union,Atletico Madrid,1-1,1-2,1,2,1,league,NA,NA,A
17,1929-03-03,1928,Real Madrid,Real Sociedad,2-0,2-1,2,1,1,league,NA,NA,H
18,1929-03-03,1928,Espanyol Barcelona,Racing Santander,1-0,3-0,3,0,1,league,NA,NA,H
19,1929-03-03,1928,FC Barcelona,Arenas de Getxo,1-2,2-2,2,2,1,league,NA,NA,D
20,1929-03-03,1928,Athletic Bilbao,CE Europa,1-0,2-0,2,0,1,league,NA,NA,H
21,1929-03-10,1928,CE Europa,Real Union,2-2,3-3,3,3,1,league,NA,NA,D
22,1929-03-10,1928,Atletico Madrid,FC Barcelona,2-0,4-1,4,1,1,league,NA,NA,H
23,1929-03-10,1928,Racing Santander,Real Madrid,1-0,1-3,1,3,1,league,NA,NA,A
24,1929-03-10,1928,Real Sociedad,Espanyol Barcelona,0-0,1-1,1,1,1,league,NA,NA,D
25,1929-03-10,1928,Arenas de Getxo,Athletic Bilbao,1-0,1-0,1,0,1,league,NA,NA,H
26,1929-03-24,1928,Espanyol Barcelona,Real Madrid,2-0,4-0,4,0,1,league,NA,NA,H
27,1929-03-24,1928,Real Union,Athletic Bilbao,4-1,6-3,6,3,1,league,NA,NA,H
28,1929-03-24,1928,Arenas de Getxo,Real Sociedad,1-0,3-0,3,0,1,league,NA,NA,H
29,1929-03-24,1928,Atletico Madrid,Racing Santander,2-0,4-0,4,0,1,league,NA,NA,H
30,1929-03-24,1928,FC Barcelona,CE Europa,3-0,5-2,5,2,1,league,NA,NA,H
31,1929-03-31,1928,Real Sociedad,Racing Santander,6-1,8-1,8,1,1,league,NA,NA,H
32,1929-03-31,1928,Espanyol Barcelona,Arenas de Getxo,0-1,1-2,1,2,1,league,NA,NA,A
33,1929-03-31,1928,CE Europa,Atletico Madrid,1-0,4-1,4,1,1,league,NA,NA,H
34,1929-03-31,1928,Athletic Bilbao,FC Barcelona,1-0,5-1,5,1,1,league,NA,NA,H
35,1929-03-31,1928,Real Madrid,Real Union,2-0,2-0,2,0,1,league,NA,NA,H
36,1929-04-07,1928,Arenas de Getxo,Real Madrid,2-0,3-2,3,2,1,league,NA,NA,H
37,1929-04-07,1928,Atletico Madrid,Athletic Bilbao,1-1,2-3,2,3,1,league,NA,NA,A
38,1929-04-07,1928,FC Barcelona,Espanyol Barcelona,0-0,1-0,1,0,1,league,NA,NA,H
39,1929-04-07,1928,Real Union,Real Sociedad,2-0,2-3,2,3,1,league,NA,NA,A
40,1929-04-07,1928,Racing Santander,CE Europa,2-0,3-2,3,2,1,league,NA,NA,H
41,1929-04-21,1928,Arenas de Getxo,Racing Santander,1-0,2-1,2,1,1,league,NA,NA,H
42,1929-04-21,1928,Real Union,FC Barcelona,1-0,1-2,1,2,1,league,NA,NA,A
43,1929-04-21,1928,Real Madrid,Athletic Bilbao,2-0,5-1,5,1,1,league,NA,NA,H
44,1929-04-21,1928,Espanyol Barcelona,Atletico Madrid,2-1,3-2,3,2,1,league,NA,NA,H
45,1929-04-21,1928,CE Europa,Real Sociedad,3-1,4-3,4,3,1,league,NA,NA,H
46,1929-04-28,1928,Real Union,Espanyol Barcelona,4-0,4-3,4,3,1,league,NA,NA,H
47,1929-04-28,1928,Athletic Bilbao,Real Sociedad,1-2,4-2,4,2,1,league,NA,NA,H
48,1929-04-28,1928,FC Barcelona,Racing Santander,2-0,5-1,5,1,1,league,NA,NA,H
49,1929-04-28,1928,Atletico Madrid,Arenas de Getxo,0-2,1-2,1,2,1,league,NA,NA,A
50,1929-04-28,1928,CE Europa,Real Madrid,4-2,5-2,5,2,1,league,NA,NA,H
51,1929-05-05,1928,Espanyol Barcelona,Athletic Bilbao,1-1,4-1,4,1,1,league,NA,NA,H
52,1929-05-05,1928,Racing Santander,Real Union,1-1,1-3,1,3,1,league,NA,NA,A
53,1929-05-05,1928,Arenas de Getxo,CE Europa,0-1,2-2,2,2,1,league,NA,NA,D
54,1929-05-09,1928,Real Madrid,FC Barcelona,0-0,0-1,0,1,1,league,NA,NA,A
55,1929-05-09,1928,Real Sociedad,Atletico Madrid,2-1,3-3,3,3,1,league,NA,NA,D
56,1929-05-09,1928,CE Europa,Espanyol Barcelona,0-0,0-3,0,3,1,league,NA,NA,A
57,1929-05-12,1928,Athletic Bilbao,Racing Santander,0-0,0-0,0,0,1,league,NA,NA,D
58,1929-05-12,1928,Real Union,Arenas de Getxo,4-1,7-1,7,1,1,league,NA,NA,H
59,1929-05-19,1928,Atletico Madrid,Real Union,1-0,3-1,3,1,1,league,NA,NA,H
60,1929-05-19,1928,Real Sociedad,Real Madrid,3-1,5-4,5,4,1,league,NA,NA,H
61,1929-05-26,1928,FC Barcelona,Atletico Madrid,2-0,4-0,4,0,1,league,NA,NA,H
62,1929-05-26,1928,Espanyol Barcelona,Real Sociedad,0-1,1-1,1,1,1,league,NA,NA,D
63,1929-05-26,1928,Real Madrid,Racing Santander,0-1,2-2,2,2,1,league,NA,NA,D
64,1929-05-26,1928,Athletic Bilbao,Arenas de Getxo,0-2,2-3,2,3,1,league,NA,NA,A
65,1929-05-26,1928,Real Union,CE Europa,2-2,2-3,2,3,1,league,NA,NA,A
66,1929-05-30,1928,Atletico Madrid,Real Madrid,0-2,0-3,0,3,1,league,NA,NA,A
67,1929-05-30,1928,FC Barcelona,Real Sociedad,1-0,1-0,1,0,1,league,NA,NA,H
68,1929-05-30,1928,Racing Santander,Espanyol Barcelona,0-1,1-1,1,1,1,league,NA,NA,D
69,1929-05-30,1928,CE Europa,Athletic Bilbao,0-1,1-1,1,1,1,league,NA,NA,D
70,1929-06-02,1928,CE Europa,FC Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
71,1929-06-02,1928,Real Madrid,Espanyol Barcelona,2-0,2-0,2,0,1,league,NA,NA,H
72,1929-06-02,1928,Racing Santander,Atletico Madrid,0-2,1-2,1,2,1,league,NA,NA,A
73,1929-06-02,1928,Real Sociedad,Arenas de Getxo,2-1,3-2,3,2,1,league,NA,NA,H
74,1929-06-02,1928,Athletic Bilbao,Real Union,0-0,2-1,2,1,1,league,NA,NA,H
75,1929-06-09,1928,Arenas de Getxo,Espanyol Barcelona,3-0,3-0,3,0,1,league,NA,NA,H
76,1929-06-09,1928,Racing Santander,Real Sociedad,2-1,6-1,6,1,1,league,NA,NA,H
77,1929-06-09,1928,FC Barcelona,Athletic Bilbao,0-0,3-0,3,0,1,league,NA,NA,H
78,1929-06-09,1928,Real Union,Real Madrid,0-1,0-2,0,2,1,league,NA,NA,A
79,1929-06-09,1928,Atletico Madrid,CE Europa,3-3,5-4,5,4,1,league,NA,NA,H
80,1929-06-16,1928,Espanyol Barcelona,FC Barcelona,0-0,1-1,1,1,1,league,NA,NA,D
81,1929-06-16,1928,Athletic Bilbao,Atletico Madrid,1-1,3-3,3,3,1,league,NA,NA,D
82,1929-06-16,1928,CE Europa,Racing Santander,0-0,4-1,4,1,1,league,NA,NA,H
83,1929-06-16,1928,Real Madrid,Arenas de Getxo,1-0,2-0,2,0,1,league,NA,NA,H
84,1929-06-16,1928,Real Sociedad,Real Union,1-1,3-2,3,2,1,league,NA,NA,H
85,1929-06-23,1928,Real Sociedad,CE Europa,1-1,5-4,5,4,1,league,NA,NA,H
86,1929-06-23,1928,Athletic Bilbao,Real Madrid,1-0,2-0,2,0,1,league,NA,NA,H
87,1929-06-23,1928,Atletico Madrid,Espanyol Barcelona,2-1,7-1,7,1,1,league,NA,NA,H
88,1929-06-23,1928,Racing Santander,Arenas de Getxo,3-0,5-1,5,1,1,league,NA,NA,H
89,1929-06-23,1928,FC Barcelona,Real Union,2-1,4-1,4,1,1,league,NA,NA,H
90,1929-06-30,1928,Arenas de Getxo,FC Barcelona,0-0,0-2,0,2,1,league,NA,NA,A
91,1929-12-01,1929,Racing Santander,Espanyol Barcelona,1-1,4-1,4,1,1,league,NA,NA,H
92,1929-12-01,1929,FC Barcelona,Real Sociedad,2-0,3-0,3,0,1,league,NA,NA,H
93,1929-12-01,1929,Real Union,Arenas de Getxo,1-1,3-2,3,2,1,league,NA,NA,H
94,1929-12-01,1929,Atletico Madrid,CE Europa,3-2,5-3,5,3,1,league,NA,NA,H
95,1929-12-01,1929,Athletic Bilbao,Real Madrid,2-1,2-1,2,1,1,league,NA,NA,H
96,1929-12-08,1929,Arenas de Getxo,FC Barcelona,1-1,1-3,1,3,1,league,NA,NA,A
97,1929-12-08,1929,CE Europa,Athletic Bilbao,0-1,2-2,2,2,1,league,NA,NA,D
98,1929-12-08,1929,Espanyol Barcelona,Atletico Madrid,0-0,1-0,1,0,1,league,NA,NA,H
99,1929-12-08,1929,Real Sociedad,Racing Santander,4-0,7-0,7,0,1,league,NA,NA,H
100,1929-12-08,1929,Real Madrid,Real Union,2-0,2-2,2,2,1,league,NA,NA,D
101,1929-12-15,1929,Atletico Madrid,Real Madrid,2-0,2-1,2,1,1,league,NA,NA,H
102,1929-12-15,1929,FC Barcelona,CE Europa,2-1,2-1,2,1,1,league,NA,NA,H
103,1929-12-15,1929,Racing Santander,Arenas de Getxo,1-2,2-5,2,5,1,league,NA,NA,A
104,1929-12-15,1929,Real Union,Espanyol Barcelona,1-2,3-3,3,3,1,league,NA,NA,D
105,1929-12-15,1929,Athletic Bilbao,Real Sociedad,1-2,2-2,2,2,1,league,NA,NA,D
106,1929-12-22,1929,Real Sociedad,Real Madrid,2-0,4-0,4,0,1,league,NA,NA,H
107,1929-12-22,1929,Espanyol Barcelona,Athletic Bilbao,2-0,2-2,2,2,1,league,NA,NA,D
108,1929-12-22,1929,FC Barcelona,Racing Santander,2-0,5-0,5,0,1,league,NA,NA,H
109,1929-12-22,1929,Atletico Madrid,Real Union,3-0,3-3,3,3,1,league,NA,NA,D
110,1929-12-22,1929,Arenas de Getxo,CE Europa,2-3,2-3,2,3,1,league,NA,NA,A
111,1929-12-29,1929,CE Europa,Real Sociedad,2-0,3-2,3,2,1,league,NA,NA,H
112,1929-12-29,1929,Arenas de Getxo,Athletic Bilbao,3-3,3-3,3,3,1,league,NA,NA,D
113,1929-12-29,1929,Real Union,FC Barcelona,0-1,1-3,1,3,1,league,NA,NA,A
114,1929-12-29,1929,Racing Santander,Atletico Madrid,2-2,3-2,3,2,1,league,NA,NA,H
115,1929-12-29,1929,Real Madrid,Espanyol Barcelona,1-1,2-4,2,4,1,league,NA,NA,A
116,1930-01-05,1929,FC Barcelona,Atletico Madrid,1-1,4-2,4,2,1,league,NA,NA,H
117,1930-01-05,1929,Real Madrid,Racing Santander,3-0,6-0,6,0,1,league,NA,NA,H
118,1930-01-05,1929,Real Sociedad,Arenas de Getxo,3-2,4-4,4,4,1,league,NA,NA,D
119,1930-01-05,1929,Athletic Bilbao,Real Union,3-2,5-2,5,2,1,league,NA,NA,H
120,1930-01-09,1929,Espanyol Barcelona,CE Europa,1-1,1-2,1,2,1,league,NA,NA,A
121,1930-01-12,1929,Arenas de Getxo,Espanyol Barcelona,2-0,2-0,2,0,1,league,NA,NA,H
122,1930-01-12,1929,Atletico Madrid,Real Sociedad,0-0,1-1,1,1,1,league,NA,NA,D
123,1930-01-12,1929,FC Barcelona,Athletic Bilbao,1-0,1-1,1,1,1,league,NA,NA,D
124,1930-01-12,1929,CE Europa,Real Madrid,1-1,1-2,1,2,1,league,NA,NA,A
125,1930-01-12,1929,Real Union,Racing Santander,2-1,6-3,6,3,1,league,NA,NA,H
126,1930-01-19,1929,Espanyol Barcelona,FC Barcelona,3-0,4-0,4,0,1,league,NA,NA,H
127,1930-01-19,1929,Athletic Bilbao,Atletico Madrid,2-1,6-1,6,1,1,league,NA,NA,H
128,1930-01-19,1929,Real Madrid,Arenas de Getxo,1-1,5-2,5,2,1,league,NA,NA,H
129,1930-01-19,1929,Real Sociedad,Real Union,1-1,2-3,2,3,1,league,NA,NA,A
130,1930-01-19,1929,Racing Santander,CE Europa,2-0,6-0,6,0,1,league,NA,NA,H
131,1930-01-26,1929,CE Europa,Real Union,0-1,0-1,0,1,1,league,NA,NA,A
132,1930-01-26,1929,FC Barcelona,Real Madrid,0-3,1-4,1,4,1,league,NA,NA,A
133,1930-01-26,1929,Real Sociedad,Espanyol Barcelona,0-0,1-0,1,0,1,league,NA,NA,H
134,1930-01-26,1929,Athletic Bilbao,Racing Santander,2-0,4-0,4,0,1,league,NA,NA,H
135,1930-01-26,1929,Atletico Madrid,Arenas de Getxo,1-1,1-3,1,3,1,league,NA,NA,A
136,1930-02-02,1929,Real Madrid,Athletic Bilbao,0-0,2-3,2,3,1,league,NA,NA,A
137,1930-02-02,1929,CE Europa,Atletico Madrid,2-0,2-0,2,0,1,league,NA,NA,H
138,1930-02-02,1929,Espanyol Barcelona,Racing Santander,1-0,3-0,3,0,1,league,NA,NA,H
139,1930-02-02,1929,Arenas de Getxo,Real Union,3-1,7-2,7,2,1,league,NA,NA,H
140,1930-02-02,1929,Real Sociedad,FC Barcelona,1-2,1-2,1,2,1,league,NA,NA,A
141,1930-02-09,1929,Real Union,Real Madrid,1-1,2-2,2,2,1,league,NA,NA,D
142,1930-02-09,1929,Racing Santander,Real Sociedad,0-0,2-0,2,0,1,league,NA,NA,H
143,1930-02-09,1929,FC Barcelona,Arenas de Getxo,2-1,3-1,3,1,1,league,NA,NA,H
144,1930-02-09,1929,Athletic Bilbao,CE Europa,1-0,3-0,3,0,1,league,NA,NA,H
145,1930-02-12,1929,Atletico Madrid,Espanyol Barcelona,1-0,2-0,2,0,1,league,NA,NA,H
146,1930-02-16,1929,CE Europa,FC Barcelona,0-2,0-3,0,3,1,league,NA,NA,A
147,1930-02-16,1929,Espanyol Barcelona,Real Union,1-0,3-1,3,1,1,league,NA,NA,H
148,1930-02-16,1929,Arenas de Getxo,Racing Santander,1-0,5-1,5,1,1,league,NA,NA,H
149,1930-02-16,1929,Real Sociedad,Athletic Bilbao,1-3,1-7,1,7,1,league,NA,NA,A
150,1930-02-16,1929,Real Madrid,Atletico Madrid,4-0,4-1,4,1,1,league,NA,NA,H
151,1930-02-23,1929,Racing Santander,FC Barcelona,0-1,2-1,2,1,1,league,NA,NA,H
152,1930-02-23,1929,Athletic Bilbao,Espanyol Barcelona,2-0,6-0,6,0,1,league,NA,NA,H
153,1930-02-23,1929,Real Union,Atletico Madrid,3-1,8-2,8,2,1,league,NA,NA,H
154,1930-02-23,1929,Real Madrid,Real Sociedad,1-1,1-1,1,1,1,league,NA,NA,D
155,1930-02-23,1929,CE Europa,Arenas de Getxo,1-0,1-2,1,2,1,league,NA,NA,A
156,1930-03-02,1929,Athletic Bilbao,Arenas de Getxo,4-0,5-2,5,2,1,league,NA,NA,H
157,1930-03-02,1929,Atletico Madrid,Racing Santander,2-1,3-1,3,1,1,league,NA,NA,H
158,1930-03-02,1929,Real Sociedad,CE Europa,1-0,2-0,2,0,1,league,NA,NA,H
159,1930-03-05,1929,FC Barcelona,Real Union,1-0,4-2,4,2,1,league,NA,NA,H
160,1930-03-05,1929,Espanyol Barcelona,Real Madrid,3-1,8-1,8,1,1,league,NA,NA,H
161,1930-03-09,1929,Racing Santander,Real Madrid,2-0,2-0,2,0,1,league,NA,NA,H
162,1930-03-09,1929,Atletico Madrid,FC Barcelona,2-2,3-2,3,2,1,league,NA,NA,H
163,1930-03-09,1929,Real Union,Athletic Bilbao,1-1,1-1,1,1,1,league,NA,NA,D
164,1930-03-09,1929,CE Europa,Espanyol Barcelona,0-1,1-2,1,2,1,league,NA,NA,A
165,1930-03-09,1929,Arenas de Getxo,Real Sociedad,1-1,3-1,3,1,1,league,NA,NA,H
166,1930-03-16,1929,Espanyol Barcelona,Arenas de Getxo,1-0,1-0,1,0,1,league,NA,NA,H
167,1930-03-16,1929,Racing Santander,Real Union,1-2,4-2,4,2,1,league,NA,NA,H
168,1930-03-16,1929,Real Sociedad,Atletico Madrid,1-0,2-0,2,0,1,league,NA,NA,H
169,1930-03-16,1929,Athletic Bilbao,FC Barcelona,3-3,4-3,4,3,1,league,NA,NA,H
170,1930-03-16,1929,Real Madrid,CE Europa,1-0,6-1,6,1,1,league,NA,NA,H
171,1930-03-22,1929,CE Europa,Racing Santander,2-0,5-0,5,0,1,league,NA,NA,H
172,1930-03-23,1929,Arenas de Getxo,Real Madrid,2-1,5-1,5,1,1,league,NA,NA,H
173,1930-03-23,1929,Atletico Madrid,Athletic Bilbao,3-1,3-4,3,4,1,league,NA,NA,A
174,1930-03-23,1929,FC Barcelona,Espanyol Barcelona,3-2,5-4,5,4,1,league,NA,NA,H
175,1930-03-23,1929,Real Union,Real Sociedad,3-0,3-2,3,2,1,league,NA,NA,H
176,1930-03-30,1929,Real Union,CE Europa,2-0,3-4,3,4,1,league,NA,NA,A
177,1930-03-30,1929,Real Madrid,FC Barcelona,3-0,5-1,5,1,1,league,NA,NA,H
178,1930-03-30,1929,Racing Santander,Athletic Bilbao,1-2,2-3,2,3,1,league,NA,NA,A
179,1930-03-30,1929,Arenas de Getxo,Atletico Madrid,0-0,2-1,2,1,1,league,NA,NA,H
180,1930-03-30,1929,Espanyol Barcelona,Real Sociedad,1-0,3-1,3,1,1,league,NA,NA,H
181,1930-12-07,1930,Real Madrid,Espanyol Barcelona,1-0,2-0,2,0,1,league,NA,NA,H
182,1930-12-07,1930,Real Sociedad,CD Alaves,1-1,2-2,2,2,1,league,NA,NA,D
183,1930-12-07,1930,Arenas de Getxo,Real Union,1-2,1-2,1,2,1,league,NA,NA,A
184,1930-12-07,1930,Racing Santander,CE Europa,0-1,2-1,2,1,1,league,NA,NA,H
185,1930-12-07,1930,FC Barcelona,Athletic Bilbao,3-1,6-3,6,3,1,league,NA,NA,H
186,1930-12-14,1930,CE Europa,FC Barcelona,1-2,2-2,2,2,1,league,NA,NA,D
187,1930-12-14,1930,Athletic Bilbao,Real Sociedad,3-1,6-1,6,1,1,league,NA,NA,H
188,1930-12-14,1930,Espanyol Barcelona,Racing Santander,3-0,4-1,4,1,1,league,NA,NA,H
189,1930-12-14,1930,CD Alaves,Arenas de Getxo,2-2,3-2,3,2,1,league,NA,NA,H
190,1930-12-21,1930,Arenas de Getxo,Real Madrid,2-0,4-1,4,1,1,league,NA,NA,H
191,1930-12-21,1930,CE Europa,Real Union,2-0,2-1,2,1,1,league,NA,NA,H
192,1930-12-21,1930,CD Alaves,Espanyol Barcelona,0-0,4-1,4,1,1,league,NA,NA,H
193,1930-12-21,1930,Real Sociedad,FC Barcelona,4-1,4-1,4,1,1,league,NA,NA,H
194,1930-12-21,1930,Racing Santander,Athletic Bilbao,1-1,4-1,4,1,1,league,NA,NA,H
195,1930-12-25,1930,Real Madrid,CE Europa,3-0,3-1,3,1,1,league,NA,NA,H
196,1930-12-28,1930,Real Union,Real Sociedad,1-2,2-4,2,4,1,league,NA,NA,A
197,1930-12-28,1930,FC Barcelona,Racing Santander,0-1,1-1,1,1,1,league,NA,NA,D
198,1930-12-28,1930,Espanyol Barcelona,Arenas de Getxo,0-0,5-0,5,0,1,league,NA,NA,H
199,1930-12-28,1930,Athletic Bilbao,CD Alaves,4-1,7-1,7,1,1,league,NA,NA,H
200,1931-01-04,1930,Real Madrid,CD Alaves,1-0,1-0,1,0,1,league,NA,NA,H
201,1931-01-04,1930,CE Europa,Athletic Bilbao,2-1,2-1,2,1,1,league,NA,NA,H
202,1931-01-04,1930,Arenas de Getxo,FC Barcelona,3-0,5-0,5,0,1,league,NA,NA,H
203,1931-01-04,1930,Racing Santander,Real Sociedad,2-1,2-5,2,5,1,league,NA,NA,A
204,1931-01-04,1930,Real Union,Espanyol Barcelona,2-0,6-1,6,1,1,league,NA,NA,H
205,1931-01-11,1930,Racing Santander,Real Madrid,1-0,3-0,3,0,1,league,NA,NA,H
206,1931-01-11,1930,FC Barcelona,Espanyol Barcelona,4-1,6-2,6,2,1,league,NA,NA,H
207,1931-01-11,1930,Athletic Bilbao,Arenas de Getxo,4-1,5-2,5,2,1,league,NA,NA,H
208,1931-01-11,1930,CD Alaves,Real Union,0-0,3-1,3,1,1,league,NA,NA,H
209,1931-01-11,1930,Real Sociedad,CE Europa,3-1,3-1,3,1,1,league,NA,NA,H
210,1931-01-18,1930,Arenas de Getxo,Real Sociedad,1-0,1-3,1,3,1,league,NA,NA,A
211,1931-01-18,1930,CD Alaves,Racing Santander,1-1,2-5,2,5,1,league,NA,NA,A
212,1931-01-18,1930,Real Madrid,Athletic Bilbao,0-4,0-6,0,6,1,league,NA,NA,A
213,1931-01-18,1930,Real Union,FC Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
214,1931-01-18,1930,Espanyol Barcelona,CE Europa,1-0,4-0,4,0,1,league,NA,NA,H
215,1931-01-25,1930,Real Sociedad,Real Madrid,1-1,2-1,2,1,1,league,NA,NA,H
216,1931-01-25,1930,Athletic Bilbao,Espanyol Barcelona,3-0,5-1,5,1,1,league,NA,NA,H
217,1931-01-25,1930,CE Europa,Arenas de Getxo,1-2,1-4,1,4,1,league,NA,NA,A
218,1931-01-25,1930,FC Barcelona,CD Alaves,1-1,1-1,1,1,1,league,NA,NA,D
219,1931-01-25,1930,Racing Santander,Real Union,3-0,4-1,4,1,1,league,NA,NA,H
220,1931-01-27,1930,Real Union,Real Madrid,0-1,1-1,1,1,1,league,NA,NA,D
221,1931-02-01,1930,CD Alaves,CE Europa,1-0,2-0,2,0,1,league,NA,NA,H
222,1931-02-01,1930,Real Madrid,FC Barcelona,0-0,0-0,0,0,1,league,NA,NA,D
223,1931-02-01,1930,Real Union,Athletic Bilbao,0-2,2-3,2,3,1,league,NA,NA,A
224,1931-02-01,1930,Espanyol Barcelona,Real Sociedad,1-0,1-0,1,0,1,league,NA,NA,H
225,1931-02-01,1930,Arenas de Getxo,Racing Santander,1-1,4-2,4,2,1,league,NA,NA,H
226,1931-02-08,1930,Athletic Bilbao,FC Barcelona,6-1,12-1,12,1,1,league,NA,NA,H
227,1931-02-08,1930,CD Alaves,Real Sociedad,1-1,1-2,1,2,1,league,NA,NA,A
228,1931-02-08,1930,CE Europa,Racing Santander,1-2,1-2,1,2,1,league,NA,NA,A
229,1931-02-08,1930,Real Union,Arenas de Getxo,1-2,2-2,2,2,1,league,NA,NA,D
230,1931-02-08,1930,Espanyol Barcelona,Real Madrid,1-0,1-1,1,1,1,league,NA,NA,D
231,1931-02-15,1930,Real Sociedad,Athletic Bilbao,1-0,1-0,1,0,1,league,NA,NA,H
232,1931-02-15,1930,Racing Santander,Espanyol Barcelona,1-0,4-0,4,0,1,league,NA,NA,H
233,1931-02-15,1930,Arenas de Getxo,CD Alaves,1-0,1-1,1,1,1,league,NA,NA,D
234,1931-02-15,1930,Real Madrid,Real Union,1-0,3-0,3,0,1,league,NA,NA,H
235,1931-02-15,1930,FC Barcelona,CE Europa,0-2,0-2,0,2,1,league,NA,NA,A
236,1931-02-22,1930,FC Barcelona,Real Sociedad,4-1,5-1,5,1,1,league,NA,NA,H
237,1931-02-22,1930,Real Union,CE Europa,1-1,4-3,4,3,1,league,NA,NA,H
238,1931-02-22,1930,Espanyol Barcelona,CD Alaves,2-0,2-0,2,0,1,league,NA,NA,H
239,1931-02-22,1930,Athletic Bilbao,Racing Santander,3-1,7-1,7,1,1,league,NA,NA,H
240,1931-02-22,1930,Real Madrid,Arenas de Getxo,0-1,1-2,1,2,1,league,NA,NA,A
241,1931-03-01,1930,CE Europa,Real Madrid,0-1,0-3,0,3,1,league,NA,NA,A
242,1931-03-01,1930,Racing Santander,FC Barcelona,0-1,0-1,0,1,1,league,NA,NA,A
243,1931-03-01,1930,CD Alaves,Athletic Bilbao,1-1,1-4,1,4,1,league,NA,NA,A
244,1931-03-01,1930,Arenas de Getxo,Espanyol Barcelona,1-0,1-0,1,0,1,league,NA,NA,H
245,1931-03-01,1930,Real Sociedad,Real Union,2-3,3-3,3,3,1,league,NA,NA,D
246,1931-03-08,1930,Real Sociedad,Racing Santander,3-4,4-7,4,7,1,league,NA,NA,A
247,1931-03-08,1930,Athletic Bilbao,CE Europa,3-0,4-1,4,1,1,league,NA,NA,H
248,1931-03-08,1930,Espanyol Barcelona,Real Union,1-1,4-2,4,2,1,league,NA,NA,H
249,1931-03-08,1930,CD Alaves,Real Madrid,1-0,2-0,2,0,1,league,NA,NA,H
250,1931-03-08,1930,FC Barcelona,Arenas de Getxo,1-0,2-0,2,0,1,league,NA,NA,H
251,1931-03-14,1930,CE Europa,Real Sociedad,1-1,2-1,2,1,1,league,NA,NA,H
252,1931-03-15,1930,Arenas de Getxo,Athletic Bilbao,2-0,3-2,3,2,1,league,NA,NA,H
253,1931-03-15,1930,Real Madrid,Racing Santander,0-0,0-0,0,0,1,league,NA,NA,D
254,1931-03-15,1930,Real Union,CD Alaves,2-1,4-1,4,1,1,league,NA,NA,H
255,1931-03-17,1930,Espanyol Barcelona,FC Barcelona,3-3,4-4,4,4,1,league,NA,NA,D
256,1931-03-22,1930,Real Sociedad,Arenas de Getxo,2-1,4-1,4,1,1,league,NA,NA,H
257,1931-03-22,1930,Racing Santander,CD Alaves,3-0,4-0,4,0,1,league,NA,NA,H
258,1931-03-22,1930,CE Europa,Espanyol Barcelona,1-0,3-1,3,1,1,league,NA,NA,H
259,1931-03-22,1930,Athletic Bilbao,Real Madrid,2-3,2-4,2,4,1,league,NA,NA,A
260,1931-03-22,1930,FC Barcelona,Real Union,3-0,5-3,5,3,1,league,NA,NA,H
261,1931-03-29,1930,CD Alaves,FC Barcelona,1-0,1-1,1,1,1,league,NA,NA,D
262,1931-03-29,1930,Espanyol Barcelona,Athletic Bilbao,0-3,0-4,0,4,1,league,NA,NA,A
263,1931-03-29,1930,Real Madrid,Real Sociedad,1-0,2-0,2,0,1,league,NA,NA,H
264,1931-03-29,1930,Real Union,Racing Santander,3-3,4-3,4,3,1,league,NA,NA,H
265,1931-03-29,1930,Arenas de Getxo,CE Europa,0-0,1-0,1,0,1,league,NA,NA,H
266,1931-04-05,1930,Athletic Bilbao,Real Union,0-1,1-2,1,2,1,league,NA,NA,A
267,1931-04-05,1930,FC Barcelona,Real Madrid,2-1,3-1,3,1,1,league,NA,NA,H
268,1931-04-05,1930,Real Sociedad,Espanyol Barcelona,1-0,2-1,2,1,1,league,NA,NA,H
