61,1963-10-19,1963,Meidericher SV,1. FC Saarbrucken,3-1,3,1,1,1,H
62,1963-10-19,1963,1. FC Kaiserslautern,Karlsruher SC,1-0,1,0,1,1,H
63,1963-10-19,1963,Eintracht Braunschweig,Werder Bremen,1-1,1,1,1,1,D
64,1963-10-19,1963,Borussia Dortmund,Hertha BSC,7-2,7,2,1,1,H
65,1963-10-26,1963,VfB Stuttgart,Borussia Dortmund,2-1,2,1,1,1,H
66,1963-10-26,1963,FC Schalke 04,Werder Bremen,2-3,2,3,1,1,A
67,1963-10-26,1963,Hamburger SV,Eintracht Braunschweig,2-1,2,1,1,1,H
68,1963-10-26,1963,1. FC Koln,Meidericher SV,3-3,3,3,1,1,D
69,1963-10-26,1963,1. FC Nurnberg,1. FC Kaiserslautern,0-5,0,5,1,1,A
70,1963-10-26,1963,Preussen Munster,TSV 1860 Munchen,0-0,0,0,1,1,D
71,1963-10-26,1963,Hertha BSC,Frankfurter SG Eintracht,1-3,1,3,1,1,A
72,1963-10-26,1963,1. FC Saarbrucken,Karlsruher SC,1-3,1,3,1,1,A
73,1963-11-08,1963,Eintracht Braunschweig,1. FC Koln,1-1,1,1,1,1,D
74,1963-11-09,1963,1. FC Kaiserslautern,VfB Stuttgart,1-3,1,3,1,1,A
75,1963-11-09,1963,Meidericher SV,Hamburger SV,4-0,4,0,1,1,H
76,1963-11-09,1963,Frankfurter SG Eintracht,FC Schalke 04,4-2,4,2,1,1,H
77,1963-11-09,1963,TSV 1860 Munchen,1. FC Saarbrucken,7-1,7,1,1,1,H
78,1963-11-09,1963,Karlsruher SC,Preussen Munster,4-2,4,2,1,1,H
79,1963-11-09,1963,Werder Bremen,Hertha BSC,2-2,2,2,1,1,D
80,1963-11-09,1963,Borussia Dortmund,1. FC Nurnberg,3-1,3,1,1,1,H
81,1963-11-16,1963,1. FC Koln,Hamburger SV,4-1,4,1,1,1,H
82,1963-11-16,1963,Eintracht Braunschweig,Meidericher SV,0-0,0,0,1,1,D
83,1963-11-16,1963,1. FC Saarbrucken,Preussen Munster,1-1,1,1,1,1,D
84,1963-11-16,1963,VfB Stuttgart,1. FC Nurnberg,1-0,1,0,1,1,H
85,1963-11-16,1963,TSV 1860 Munchen,Karlsruher SC,1-0,1,0,1,1,H
86,1963-11-16,1963,Werder Bremen,Frankfurter SG Eintracht,4-1,4,1,1,1,H
87,1963-11-16,1963,Borussia Dortmund,1. FC Kaiserslautern,9-3,9,3,1,1,H
88,1963-11-16,1963,FC Schalke 04,Hertha BSC,1-0,1,0,1,1,H
89,1963-11-23,1963,1. FC Nurnberg,1. FC Koln,2-2,2,2,1,1,D
90,1963-11-23,1963,Hamburger SV,VfB Stuttgart,1-1,1,1,1,1,D
91,1963-11-23,1963,Meidericher SV,Borussia Dortmund,3-3,3,3,1,1,D
92,1963-11-23,1963,Preussen Munster,FC Schalke 04,2-2,2,2,1,1,D
93,1963-11-23,1963,1. FC Kaiserslautern,Eintracht Braunschweig,2-1,2,1,1,1,H
94,1963-11-23,1963,Hertha BSC,1. FC Saarbrucken,3-2,3,2,1,1,H
